prefix,total_count,entropy,max_byte,max_count,nz
0a0ae6a193e5a4a7e5,1,0,8f,1,255
0a0ae6a193e5ae,1,0,a3,1,255
0a0ae6a193e5aea3,1,0,e6,1,255
0a0ae6a193e5aea3e6,1,0,ad,1,255
0a0ae6a8,2,0,82,2,255
0a0ae6a882,2,0,e5,2,255
0a0ae6a882e5,1,0,ae,1,255
0a0ae6a882e5ae,1,0,89,1,255
0a0ae6a882e5ae89,1,0,e5,1,255
0a0ae6a882e5ae89e5,1,0,8a,1,255
0a0ae6ad,2,0,a6,2,255
0a0ae6ada6,2,0,e6,2,255
0a0ae6ada6e6,1,0,98,1,255
0a0ae6ada6e698,1,0,8c,1,255
0a0ae6ada6e6988c,1,0,e8,1,255
0a0ae6ada6e6988ce8,1,0,99,1,255
0a0ae6b0,2,0,b8,2,255
0a0ae6b0b8,2,0,e5,2,255
0a0ae6b0b8e5,1,0,92,1,255
0a0ae6b0b8e592,1,0,8c,1,255
0a0ae6b0b8e5928c,1,0,e4,1,255
0a0ae6b0b8e5928ce4,1,0,b8,1,255
0a0ae6b2,4,1,99,2,254
0a0ae6b299,2,0,e9,2,255
0a0ae6b299e9,1,0,96,1,255
0a0ae6b299e996,1,0,80,1,255
0a0ae6b299e99680,1,0,e7,1,255
0a0ae6b299e99680e7,1,0,ab,1,255
0a0ae6b29b,2,0,e5,2,255
0a0ae6b29be5,1,0,9c,1,255
0a0ae6b29be59c,1,0,8b,1,255
0a0ae6b29be59c8b,1,0,e6,1,255
0a0ae6b29be59c8be6,1,0,9c,1,255
0a0ae6b7,2,0,ae,2,255
0a0ae6b7ae,2,0,e5,2,255
0a0ae6b7aee5,1,0,8d,1,255
0a0ae6b7aee58d,1,0,97,1,255
0a0ae6b7aee58d97,1,0,e9,1,255
0a0ae6b7aee58d97e9,1,0,99,1,255
0a0ae6bb,2,0,8e,2,255
0a0ae6bb8e,2,0,e9,2,255
0a0ae6bb8ee9,1,0,99,1,255
0a0ae6bb8ee999,1,0,bd,1,255
0a0ae6bb8ee999bd,1,0,e4,1,255
0a0ae6bb8ee999bde4,1,0,ba,1,255
0a0ae6bc,4,0,a2,4,255
0a0ae6bca2,4,0,e6,4,255
0a0ae6bca2e6,2,0,99,2,255
0a0ae6bca2e699,2,0,82,2,255
0a0ae6bca2e69982,2,1,e8,1,254
0a0ae6bca2e69982e8,1,0,ab,1,255
0a0ae6bca2e69982ef,1,0,bc,1,255
0a0ae7,20,2.16096,8e,10,250
0a0ae786,2,0,8a,2,255
0a0ae7868a,2,0,e7,2,255
0a0ae7868ae7,1,0,84,1,255
0a0ae7868ae784,1,0,a1,1,255
0a0ae7868ae784a1,1,0,e7,1,255
0a0ae7868ae784a1e7,1,0,a9,1,255
0a0ae78d,2,0,b5,2,255
0a0ae78db5,2,0,e8,2,255
0a0ae78db5e8,1,0,87,1,255
0a0ae78db5e887,1,0,b3,1,255
0a0ae78db5e887b3,1,0,e4,1,255
0a0ae78db5e887b3e4,1,0,b8,1,255
0a0ae78e,10,0,8b,10,255
0a0ae78e8b,10,1.92193,e6,4,252
0a0ae78e8be4,1,0,bc,1,255
0a0ae78e8be4bc,1,0,af,1,255
0a0ae78e8be4bcaf,1,0,e9,1,255
0a0ae78e8be4bcafe9,1,0,99,1,255
0a0ae78e8be5,1,0,b0,1,255
0a0ae78e8be5b0,1,0,8e,1,255
0a0ae78e8be5b08e,1,0,e5,1,255
0a0ae78e8be5b08ee5,1,0,ad,1,255
0a0ae78e8be6,2,1,96,1,254
0a0ae78e8be696,1,0,87,1,255
0a0ae78e8be69687,1,0,e7,1,255
0a0ae78e8be69687e7,1,0,8d,1,255
0a0ae78e8be69c,1,0,ba,1,255
0a0ae78e8be69cba,1,0,e7,1,255
0a0ae78e8be69cbae7,1,0,82,1,255
0a0ae78e8be7,1,0,b6,1,255
0a0ae78e8be7b6,1,0,8f,1,255
0a0ae78e8be7b68f,1,0,e5,1,255
0a0ae78e8be7b68fe5,1,0,ad,1,255
0a0ae79b,2,0,a7,2,255
0a0ae79ba7,2,0,e5,2,255
0a0ae79ba7e5,1,0,85,1,255
0a0ae79ba7e585,1,0,85,1,255
0a0ae79ba7e58585,1,0,e7,1,255
0a0ae79ba7e58585e7,1,0,8d,1,255
0a0ae79f,2,0,b3,2,255
0a0ae79fb3,2,0,e8,2,255
0a0ae79fb3e8,1,0,99,1,255
0a0ae79fb3e899,1,0,8e,1,255
0a0ae79fb3e8998e,1,0,e9,1,255
0a0ae79fb3e8998ee9,1,0,84,1,255
0a0ae7a8,2,0,8b,2,255
0a0ae7a88b,2,0,e5,2,255
0a0ae7a88be5,1,0,92,1,255
0a0ae7a88be592,1,0,b8,1,255
0a0ae7a88be592b8,1,0,e5,1,255
0a0ae7a88be592b8e5,1,0,ad,1,255
0a0ae8,24,3.25163,87,4,246
0a0ae887,4,0,a8,4,255
0a0ae887a8,4,1,e5,2,254
0a0ae887a8e5,1,0,9f,1,255
0a0ae887a8e59f,1,0,8e,1,255
0a0ae887a8e59f8e,1,0,e7,1,255
0a0ae887a8e59f8ee7,1,0,b8,1,255
0a0ae887a8e6,1,0,b7,1,255
0a0ae887a8e6b7,1,0,ae,1,255
0a0ae887a8e6b7ae,1,0,e5,1,255
0a0ae887a8e6b7aee5,1,0,85,1,255
0a0ae88d,2,0,8a,2,255
0a0ae88d8a,2,0,e5,2,255
0a0ae88d8ae5,1,0,b7,1,255
0a0ae88d8ae5b7,1,0,9e,1,255
0a0ae88d8ae5b79e,1,0,e5,1,255
0a0ae88d8ae5b79ee5,1,0,88,1,255
0a0ae891,2,0,a3,2,255
0a0ae891a3,2,0,e5,2,255
0a0ae891a3e5,1,0,a3,1,255
0a0ae891a3e5a3,1,0,bd,1,255
0a0ae891a3e5a3bd,1,0,e4,1,255
0a0ae891a3e5a3bde4,1,0,b9,1,255
0a0ae894,2,0,a1,2,255
0a0ae894a1,2,0,e8,2,255
0a0ae894a1e8,1,0,a3,1,255
0a0ae894a1e8a3,1,0,94,1,255
0a0ae894a1e8a394,1,0,e6,1,255
0a0ae894a1e8a394e6,1,0,9c,1,255
0a0ae8a2,2,0,81,2,255
0a0ae8a281,2,0,e7,2,255
0a0ae8a281e7,1,0,9c,1,255
0a0ae8a281e79c,1,0,9f,1,255
0a0ae8a281e79c9f,1,0,e5,1,255
0a0ae8a281e79c9fe5,1,0,9c,1,255
0a0ae8a5,4,0,84,4,255
0a0ae8a584,4,0,e9,4,255
0a0ae8a584e9,2,0,99,2,255
0a0ae8a584e999,2,0,bd,2,255
0a0ae8a584e999bd,2,1,e6,1,254
0a0ae8a584e999bde6,1,0,9d,1,255
0a0ae8a584e999bde7,1,0,bf,1,255
0a0ae8ab,2,0,b8,2,255
0a0ae8abb8,2,0,e8,2,255
0a0ae8abb8e8,1,0,91,1,255
0a0ae8abb8e891,1,0,9b,1,255
0a0ae8abb8e8919b,1,0,e9,1,255
0a0ae8abb8e8919be9,1,0,95,1,255
0a0ae8ac,2,0,9d,2,255
0a0ae8ac9d,2,0,e5,2,255
0a0ae8ac9de5,1,0,85,1,255
0a0ae8ac9de585,1,0,81,1,255
0a0ae8ac9de58581,1,0,e5,1,255
0a0ae8ac9de58581e5,1,0,be,1,255
0a0ae8b1,2,0,ab,2,255
0a0ae8b1ab,2,0,e7,2,255
0a0ae8b1abe7,1,0,ab,1,255
0a0ae8b1abe7ab,1,0,a0,1,255
0a0ae8b1abe7aba0,1,0,e4,1,255
0a0ae8b1abe7aba0e4,1,0,ba,1,255
0a0ae8b6,2,0,99,2,255
0a0ae8b699,2,0,e5,2,255
0a0ae8b699e5,1,0,9b,1,255
0a0ae8b699e59b,1,0,ba,1,255
0a0ae8b699e59bba,1,0,e5,1,255
0a0ae8b699e59bbae5,1,0,b8,1,255
0a0ae9,28,3.09307,84,4,247
0a0ae984,4,1,ad,2,254
0a0ae984ad,2,0,e8,2,255
0a0ae984ade8,1,0,8c,1,255
0a0ae984ade88c,1,0,82,1,255
